index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,legendary,mythical,generation,total_stats
1,bulbasaur,grass / poison,0,6,overgrow,chlorophyll,45,49,49,65,65,45,False,False,generation-i,318
2,ivysaur,grass / poison,1,13,overgrow,chlorophyll,60,62,63,80,80,60,False,False,generation-i,405
3,venusaur,grass / poison,2,100,overgrow,chlorophyll,80,82,83,100,100,80,False,False,generation-i,525
3,venusaur-mega,grass / poison,2,155,thick-fat,None ,80,100,123,122,120,80,False,False,generation-i,625
3,venusaur-gmax,grass / poison,24,1000,overgrow,chlorophyll,80,82,83,100,100,80,False,False,generation-i,525
4,charmander,fire,0,8,blaze,solar-power,39,52,43,60,50,65,False,False,generation-i,309
5,charmeleon,fire,1,19,blaze,solar-power,58,64,58,80,65,80,False,False,generation-i,405
6,charizard,fire / flying,1,90,blaze,solar-power,78,84,78,109,85,100,False,False,generation-i,534
6,charizard-mega-x,fire / dragon,1,110,tough-claws,None ,78,130,111,130,85,100,False,False,generation-i,634
6,charizard-mega-y,fire / flying,1,100,drought,None ,78,104,78,159,115,100,False,False,generation-i,634
6,charizard-gmax,fire / flying,28,1000,blaze,solar-power,78,84,78,109,85,100,False,False,generation-i,534
7,squirtle,water,0,9,torrent,rain-dish,44,48,65,50,64,43,False,False,generation-i,314
8,wartortle,water,1,22,torrent,rain-dish,59,63,80,65,80,58,False,False,generation-i,405
9,blastoise,water,1,85,torrent,rain-dish,79,83,100,85,105,78,False,False,generation-i,530
9,blastoise-mega,water,1,101,mega-launcher,None ,79,103,120,135,115,78,False,False,generation-i,630
9,blastoise-gmax,water,25,1000,torrent,rain-dish,79,83,100,85,105,78,False,False,generation-i,530
10,caterpie,bug,0,2,shield-dust,run-away,45,30,35,20,20,45,False,False,generation-i,195
11,metapod,bug,0,9,shed-skin,None ,50,20,55,25,25,30,False,False,generation-i,205
12,butterfree,bug / flying,1,32,compound-eyes,tinted-lens,60,45,50,90,80,70,False,False,generation-i,395
12,butterfree-gmax,bug / flying,17,1000,compound-eyes,tinted-lens,60,45,50,90,80,70,False,False,generation-i,395
13,weedle,bug / poison,0,3,shield-dust,run-away,40,35,30,20,20,50,False,False,generation-i,195
