index,name,type1,type2,ability1,ability2,hidden_ability,height,weight,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation
1,bulbasaur,grass,poison,overgrow,None,chlorophyll,0,6,45,49,49,65,65,45,318,False,False,generation-i
2,ivysaur,grass,poison,overgrow,None,chlorophyll,1,13,60,62,63,80,80,60,405,False,False,generation-i
3,venusaur,grass,poison,overgrow,None,chlorophyll,2,100,80,82,83,100,100,80,525,False,False,generation-i
3,venusaur-mega,grass,poison,thick-fat,None,None ,2,155,80,100,123,122,120,80,625,False,False,generation-i
3,venusaur-gmax,grass,poison,overgrow,None,chlorophyll,24,1000,80,82,83,100,100,80,525,False,False,generation-i
4,charmander,fire,None,blaze,None,solar-power,0,8,39,52,43,60,50,65,309,False,False,generation-i
5,charmeleon,fire,None,blaze,None,solar-power,1,19,58,64,58,80,65,80,405,False,False,generation-i
6,charizard,fire,flying,blaze,None,solar-power,1,90,78,84,78,109,85,100,534,False,False,generation-i
6,charizard-mega-x,fire,dragon,tough-claws,None,None ,1,110,78,130,111,130,85,100,634,False,False,generation-i
6,charizard-mega-y,fire,flying,drought,None,None ,1,100,78,104,78,159,115,100,634,False,False,generation-i
6,charizard-gmax,fire,flying,blaze,None,solar-power,28,1000,78,84,78,109,85,100,534,False,False,generation-i
7,squirtle,water,None,torrent,None,rain-dish,0,9,44,48,65,50,64,43,314,False,False,generation-i
8,wartortle,water,None,torrent,None,rain-dish,1,22,59,63,80,65,80,58,405,False,False,generation-i
9,blastoise,water,None,torrent,None,rain-dish,1,85,79,83,100,85,105,78,530,False,False,generation-i
9,blastoise-mega,water,None,mega-launcher,None,None ,1,101,79,103,120,135,115,78,630,False,False,generation-i
9,blastoise-gmax,water,None,torrent,None,rain-dish,25,1000,79,83,100,85,105,78,530,False,False,generation-i
10,caterpie,bug,None,shield-dust,None,run-away,0,2,45,30,35,20,20,45,195,False,False,generation-i
11,metapod,bug,None,shed-skin,None,None ,0,9,50,20,55,25,25,30,205,False,False,generation-i
12,butterfree,bug,flying,compound-eyes,None,tinted-lens,1,32,60,45,50,90,80,70,395,False,False,generation-i
12,butterfree-gmax,bug,flying,compound-eyes,None,tinted-lens,17,1000,60,45,50,90,80,70,395,False,False,generation-i
13,weedle,bug,poison,shield-dust,None,run-away,0,3,40,35,30,20,20,50,195,False,False,generation-i
14,kakuna,bug,poison,shed-skin,None,None ,0,10,45,25,50,25,25,35,205,False,False,generation-i
15,beedrill,bug,poison,swarm,None,sniper,1,29,65,90,40,45,80,75,395,False,False,generation-i
15,beedrill-mega,bug,poison,adaptability,None,None ,1,40,65,150,40,15,80,145,495,False,False,generation-i
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,0,1,40,45,40,35,35,56,251,False,False,generation-i
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,1,30,63,60,55,50,50,71,349,False,False,generation-i
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,1,39,83,80,75,70,70,101,479,False,False,generation-i
18,pidgeot-mega,normal,flying,no-guard,None,None ,2,50,83,80,80,135,80,121,579,False,False,generation-i
19,rattata,normal,None,run-away,guts,hustle,0,3,30,56,35,25,35,72,253,False,False,generation-i
19,rattata-alola,dark,normal,gluttony,hustle,thick-fat,0,3,30,56,35,25,35,72,253,False,False,generation-i
20,raticate,normal,None,run-away,guts,hustle,0,18,55,81,60,50,70,97,413,False,False,generation-i
20,raticate-alola,dark,normal,gluttony,hustle,thick-fat,0,25,75,71,70,40,80,77,413,False,False,generation-i
20,raticate-totem-alola,dark,normal,gluttony,hustle,thick-fat,1,105,75,71,70,40,80,77,413,False,False,generation-i
21,spearow,normal,flying,keen-eye,None,sniper,0,2,40,60,30,31,31,70,262,False,False,generation-i
22,fearow,normal,flying,keen-eye,None,sniper,1,38,65,90,65,61,61,100,442,False,False,generation-i
23,ekans,poison,None,intimidate,shed-skin,unnerve,2,6,35,60,44,40,54,55,288,False,False,generation-i
24,arbok,poison,None,intimidate,shed-skin,unnerve,3,65,60,95,69,65,79,80,448,False,False,generation-i
25,pikachu,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-rock-star,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-belle,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-pop-star,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-phd,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-libre,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-cosplay,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-original-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-hoenn-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-sinnoh-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-unova-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-kalos-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-alola-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-partner-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-starter,electric,None,static,None,lightning-rod,0,6,45,80,50,75,60,120,430,False,False,generation-i
25,pikachu-world-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i
25,pikachu-gmax,electric,None,static,None,lightning-rod,21,1000,35,55,40,50,50,90,320,False,False,generation-i
26,raichu,electric,None,static,None,lightning-rod,0,30,60,90,55,90,80,110,485,False,False,generation-i
26,raichu-alola,electric,psychic,surge-surfer,None,None ,0,21,60,85,50,95,85,110,485,False,False,generation-i
27,sandshrew,ground,None,sand-veil,None,sand-rush,0,12,50,75,85,20,30,40,300,False,False,generation-i
27,sandshrew-alola,ice,steel,snow-cloak,None,slush-rush,0,40,50,75,90,10,35,40,300,False,False,generation-i
28,sandslash,ground,None,sand-veil,None,sand-rush,1,29,75,100,110,45,55,65,450,False,False,generation-i
28,sandslash-alola,ice,steel,snow-cloak,None,slush-rush,1,55,75,100,120,25,65,65,450,False,False,generation-i
29,nidoranf,poison,None,poison-point,rivalry,hustle,0,7,55,47,52,40,40,41,275,False,False,generation-i
30,nidorina,poison,None,poison-point,rivalry,hustle,0,20,70,62,67,55,55,56,365,False,False,generation-i
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,1,60,90,92,87,75,85,76,505,False,False,generation-i
32,nidoranm,poison,None,poison-point,rivalry,hustle,0,9,46,57,40,40,40,50,273,False,False,generation-i
33,nidorino,poison,None,poison-point,rivalry,hustle,0,19,61,72,57,55,55,65,365,False,False,generation-i
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,1,62,81,102,77,85,75,85,505,False,False,generation-i
35,clefairy,fairy,None,cute-charm,magic-guard,friend-guard,0,7,70,45,48,60,65,35,323,False,False,generation-i
36,clefable,fairy,None,cute-charm,magic-guard,unaware,1,40,95,70,73,95,90,60,483,False,False,generation-i
37,vulpix,fire,None,flash-fire,None,drought,0,9,38,41,40,50,65,65,299,False,False,generation-i
37,vulpix-alola,ice,None,snow-cloak,None,snow-warning,0,9,38,41,40,50,65,65,299,False,False,generation-i
38,ninetales,fire,None,flash-fire,None,drought,1,19,73,76,75,81,100,100,505,False,False,generation-i
38,ninetales-alola,ice,fairy,snow-cloak,None,snow-warning,1,19,73,67,75,81,100,109,505,False,False,generation-i
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,0,5,115,45,20,45,25,20,270,False,False,generation-i
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,1,12,140,70,45,85,50,45,435,False,False,generation-i
41,zubat,poison,flying,inner-focus,None,infiltrator,0,7,40,45,35,30,40,55,245,False,False,generation-i
42,golbat,poison,flying,inner-focus,None,infiltrator,1,55,75,80,70,65,75,90,455,False,False,generation-i
43,oddish,grass,poison,chlorophyll,None,run-away,0,5,45,50,55,75,65,30,320,False,False,generation-i
44,gloom,grass,poison,chlorophyll,None,stench,0,8,60,65,70,85,75,40,395,False,False,generation-i
45,vileplume,grass,poison,chlorophyll,None,effect-spore,1,18,75,80,85,110,90,50,490,False,False,generation-i
46,paras,bug,grass,effect-spore,dry-skin,damp,0,5,35,70,55,45,55,25,285,False,False,generation-i
47,parasect,bug,grass,effect-spore,dry-skin,damp,1,29,60,95,80,60,80,30,405,False,False,generation-i
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,1,30,60,55,50,40,55,45,305,False,False,generation-i
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,1,12,70,65,60,90,75,90,450,False,False,generation-i
50,diglett,ground,None,sand-veil,arena-trap,sand-force,0,0,10,55,25,35,45,95,265,False,False,generation-i
50,diglett-alola,ground,steel,sand-veil,tangling-hair,sand-force,0,1,10,55,30,35,45,90,265,False,False,generation-i
51,dugtrio,ground,None,sand-veil,arena-trap,sand-force,0,33,35,100,50,50,70,120,425,False,False,generation-i
51,dugtrio-alola,ground,steel,sand-veil,tangling-hair,sand-force,0,66,35,100,60,50,70,110,425,False,False,generation-i
52,meowth,normal,None,pickup,technician,unnerve,0,4,40,45,35,40,40,90,290,False,False,generation-i
52,meowth-alola,dark,None,pickup,technician,rattled,0,4,40,35,35,50,40,90,290,False,False,generation-i
52,meowth-galar,steel,None,pickup,tough-claws,unnerve,0,7,50,65,55,40,40,40,290,False,False,generation-i
52,meowth-gmax,normal,None,pickup,technician,unnerve,33,1000,40,45,35,40,40,90,290,False,False,generation-i
53,persian,normal,None,limber,technician,unnerve,1,32,65,70,60,65,65,115,440,False,False,generation-i
53,persian-alola,dark,None,fur-coat,technician,rattled,1,33,65,60,60,75,65,115,440,False,False,generation-i
54,psyduck,water,None,damp,cloud-nine,swift-swim,0,19,50,52,48,65,50,55,320,False,False,generation-i
55,golduck,water,None,damp,cloud-nine,swift-swim,1,76,80,82,78,95,80,85,500,False,False,generation-i
56,mankey,fighting,None,vital-spirit,anger-point,defiant,0,28,40,80,35,35,45,70,305,False,False,generation-i
57,primeape,fighting,None,vital-spirit,anger-point,defiant,1,32,65,105,60,60,70,95,455,False,False,generation-i
58,growlithe,fire,None,intimidate,flash-fire,justified,0,19,55,70,45,70,50,60,350,False,False,generation-i
58,growlithe-hisui,fire,rock,intimidate,flash-fire,rock-head,0,22,60,75,45,65,50,55,350,False,False,generation-i
59,arcanine,fire,None,intimidate,flash-fire,justified,1,155,90,110,80,100,80,95,555,False,False,generation-i
59,arcanine-hisui,fire,rock,intimidate,flash-fire,rock-head,2,168,95,115,80,95,80,90,555,False,False,generation-i
60,poliwag,water,None,water-absorb,damp,swift-swim,0,12,40,50,40,40,40,90,300,False,False,generation-i
61,poliwhirl,water,None,water-absorb,damp,swift-swim,1,20,65,65,65,50,50,90,385,False,False,generation-i
62,poliwrath,water,fighting,water-absorb,damp,swift-swim,1,54,90,95,95,70,90,70,510,False,False,generation-i
63,abra,psychic,None,synchronize,inner-focus,magic-guard,0,19,25,20,15,105,55,90,310,False,False,generation-i
64,kadabra,psychic,None,synchronize,inner-focus,magic-guard,1,56,40,35,30,120,70,105,400,False,False,generation-i
65,alakazam,psychic,None,synchronize,inner-focus,magic-guard,1,48,55,50,45,135,95,120,500,False,False,generation-i
65,alakazam-mega,psychic,None,trace,None,None ,1,48,55,50,65,175,105,150,600,False,False,generation-i
66,machop,fighting,None,guts,no-guard,steadfast,0,19,70,80,50,35,35,35,305,False,False,generation-i
67,machoke,fighting,None,guts,no-guard,steadfast,1,70,80,100,70,50,60,45,405,False,False,generation-i
68,machamp,fighting,None,guts,no-guard,steadfast,1,130,90,130,80,65,85,55,505,False,False,generation-i
68,machamp-gmax,fighting,None,guts,no-guard,steadfast,25,1000,90,130,80,65,85,55,505,False,False,generation-i
69,bellsprout,grass,poison,chlorophyll,None,gluttony,0,4,50,75,35,70,30,40,300,False,False,generation-i
70,weepinbell,grass,poison,chlorophyll,None,gluttony,1,6,65,90,50,85,45,55,390,False,False,generation-i
71,victreebel,grass,poison,chlorophyll,None,gluttony,1,15,80,105,65,100,70,70,490,False,False,generation-i
72,tentacool,water,poison,clear-body,liquid-ooze,rain-dish,0,45,40,40,35,50,100,70,335,False,False,generation-i
73,tentacruel,water,poison,clear-body,liquid-ooze,rain-dish,1,55,80,70,65,80,120,100,515,False,False,generation-i
74,geodude,rock,ground,rock-head,sturdy,sand-veil,0,20,40,80,100,30,30,20,300,False,False,generation-i
74,geodude-alola,rock,electric,magnet-pull,sturdy,galvanize,0,20,40,80,100,30,30,20,300,False,False,generation-i
75,graveler,rock,ground,rock-head,sturdy,sand-veil,1,105,55,95,115,45,45,35,390,False,False,generation-i
75,graveler-alola,rock,electric,magnet-pull,sturdy,galvanize,1,110,55,95,115,45,45,35,390,False,False,generation-i
76,golem,rock,ground,rock-head,sturdy,sand-veil,1,300,80,120,130,55,65,45,495,False,False,generation-i
76,golem-alola,rock,electric,magnet-pull,sturdy,galvanize,1,316,80,120,130,55,65,45,495,False,False,generation-i
77,ponyta,fire,None,run-away,flash-fire,flame-body,1,30,50,85,55,65,65,90,410,False,False,generation-i
77,ponyta-galar,psychic,None,run-away,pastel-veil,anticipation,0,24,50,85,55,65,65,90,410,False,False,generation-i
78,rapidash,fire,None,run-away,flash-fire,flame-body,1,95,65,100,70,80,80,105,500,False,False,generation-i
78,rapidash-galar,psychic,fairy,run-away,pastel-veil,anticipation,1,80,65,100,70,80,80,105,500,False,False,generation-i
79,slowpoke,water,psychic,oblivious,own-tempo,regenerator,1,36,90,65,65,40,40,15,315,False,False,generation-i
79,slowpoke-galar,psychic,None,gluttony,own-tempo,regenerator,1,36,90,65,65,40,40,15,315,False,False,generation-i
80,slowbro,water,psychic,oblivious,own-tempo,regenerator,1,78,95,75,110,100,80,30,490,False,False,generation-i
