index,name,type1,type2,ability1,ability2,hidden_ability,height,weight,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,VGCusage2022,VGCusage2023,VGCusage2024
1,bulbasaur,grass,poison,overgrow,None,chlorophyll,0,6,45,49,49,65,65,45,318,False,False,generation-i,0.0,NoUsage,0.0
2,ivysaur,grass,poison,overgrow,None,chlorophyll,1,13,60,62,63,80,80,60,405,False,False,generation-i,0.0,NoUsage,0.0
3,venusaur,grass,poison,overgrow,None,chlorophyll,2,100,80,82,83,100,100,80,525,False,False,generation-i,20.83915,NoUsage,0.4441
3,venusaur-mega,grass,poison,thick-fat,None,None ,2,155,80,100,123,122,120,80,625,False,False,generation-i,NoUsage,NoUsage,NoUsage
3,venusaur-gmax,grass,poison,overgrow,None,chlorophyll,24,1000,80,82,83,100,100,80,525,False,False,generation-i,NoUsage,NoUsage,NoUsage
4,charmander,fire,None,blaze,None,solar-power,0,8,39,52,43,60,50,65,309,False,False,generation-i,0.0,0.0,0.0
5,charmeleon,fire,None,blaze,None,solar-power,1,19,58,64,58,80,65,80,405,False,False,generation-i,0.0,0.0,0.0
6,charizard,fire,flying,blaze,None,solar-power,1,90,78,84,78,109,85,100,534,False,False,generation-i,7.17374,0.44681,0.04722
6,charizard-mega-x,fire,dragon,tough-claws,None,None ,1,110,78,130,111,130,85,100,634,False,False,generation-i,NoUsage,NoUsage,NoUsage
6,charizard-mega-y,fire,flying,drought,None,None ,1,100,78,104,78,159,115,100,634,False,False,generation-i,NoUsage,NoUsage,NoUsage
6,charizard-gmax,fire,flying,blaze,None,solar-power,28,1000,78,84,78,109,85,100,534,False,False,generation-i,NoUsage,NoUsage,NoUsage
7,squirtle,water,None,torrent,None,rain-dish,0,9,44,48,65,50,64,43,314,False,False,generation-i,0.0,NoUsage,0.0
8,wartortle,water,None,torrent,None,rain-dish,1,22,59,63,80,65,80,58,405,False,False,generation-i,0.0,NoUsage,0.00017
9,blastoise,water,None,torrent,None,rain-dish,1,85,79,83,100,85,105,78,530,False,False,generation-i,3.58274,NoUsage,0.14874
