Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
zacian-crowned,60.39172,,3.39879
incineroar,58.57608,,36.81468
kyogre,49.39676,,9.08174
regieleki,33.66805,11.84415,0.70705
grimmsnarl,26.28657,7.78893,1.27286
thundurus,23.09388,10.21401,1.06003
venusaur,20.83915,,0.4441
rillaboom,19.39555,22.8907,22.31496
landorus-therian,17.76942,26.52714,4.23346
amoonguss,17.61546,27.2443,19.88122
tornadus,16.68113,32.57582,26.15361
calyrex-shadow,16.04262,,20.12318
groudon,15.20876,,8.31136
yveltal,13.2318,,
calyrex-ice,12.16652,,20.95435
zapdos,11.40017,4.02741,0.21902
whimsicott,11.25129,,4.8996
indeedee-f,8.37202,16.45373,12.08637
gastrodon,7.82964,5.17612,0.50757
mimikyu,7.80711,6.95279,0.14732
urshifu,7.57563,9.56383,24.98031
porygon2,7.25008,,2.25316
charizard,7.17374,0.44681,0.04722
ferrothorn,6.54774,,
urshifu-rapid-strike,5.86298,48.97556,25.61987
solgaleo,5.47243,,0.1295
kartana,5.44858,,
palkia,5.19095,,0.06952
raichu,5.14672,0.23088,0.04308
dialga,4.95032,,0.03591
seismitoad,4.77767,,
blastoise,3.58274,,0.14874
rotom-heat,3.29645,0.70774,0.00974
torkoal,3.17307,14.95923,5.22535
dusclops,3.16546,1.47095,0.52334
ditto,3.09842,0.0,0.02251
spectrier,2.8511,1.07341,0.13724
tapu-fini,2.47022,,
kyurem-white,2.31124,,1.09887
rayquaza,2.20909,,1.54044
coalossal,1.97583,0.2083,0.05464
tapu-lele,1.91872,,
lunala,1.90593,,3.64915
dragapult,1.86568,1.53354,1.21768
xerneas,1.62003,,
necrozma-dusk-mane,1.60499,,0.1819
mamoswine,1.53715,0.54666,0.14194
kingdra,1.5165,,0.22696
gothitelle,1.45785,4.23636,0.43794
suicune,1.45767,,0.66491
ho-oh,1.36268,,0.68097
entei,1.32902,,12.61883
metagross,1.30383,,3.47905
eternatus,1.30324,,0.64711
weezing,1.28674,0.80234,0.49809
zygarde,1.22946,,
volcarona,1.19954,9.58417,0.77955
cinderace,1.17612,0.07588,0.00751
lapras,1.16696,,0.02388
moltres-galar,1.16687,3.60211,1.25364
regigigas,1.12698,,0.17347
umbreon,1.05996,0.46572,0.04294
zamazenta-crowned,1.03373,,4.12203
tsareena,1.02049,0.21533,0.45484
comfey,0.95397,,0.79791
sableye,0.9337,2.27836,0.34594
reshiram,0.93208,,0.12528
stakataka,0.86669,,
tapu-koko,0.84391,,
clefairy,0.8427,3.27868,0.52346
togekiss,0.84174,,
bronzong,0.80839,0.37017,0.37422
zekrom,0.79884,,0.03156
celesteela,0.76855,,
glastrier,0.6861,2.65695,0.1538
araquanid,0.68469,,1.03427
shedinja,0.65669,,
lugia,0.62118,,0.26919
pheromosa,0.6098,,
indeedee,0.58247,0.69222,0.95508
rotom-wash,0.56745,1.68778,0.07079
mienshao,0.48225,0.14468,0.09754
hitmontop,0.44831,,0.27462
milotic,0.41164,4.16544,0.55265
hydreigon,0.38608,3.26093,0.05332
jellicent,0.38214,,
ludicolo,0.33429,0.53027,0.06202
persian-alola,0.3081,0.14897,0.0209
dracovish,0.29905,,
liepard,0.29312,,
hatterene,0.28515,1.37106,2.03637
zapdos-galar,0.28285,0.72719,0.97368
arcanine,0.26863,21.3707,0.10139
garchomp,0.26759,7.23997,0.20464
talonflame,0.25896,12.80519,0.29476
marowak-alola,0.25416,,
thundurus-therian,0.24761,1.39905,0.17925
dragonite,0.24606,15.01609,10.52673
braviary,0.24137,0.06911,0.01614
regidrago,0.22145,5.93283,2.34267
riolu,0.21937,0.0,0.05794
landorus,0.21915,3.71531,17.08534
chansey,0.20912,0.00722,0.00417
oranguru,0.20782,0.95465,0.51978
shuckle,0.20286,,
togedemaru,0.19747,,
registeel,0.18498,,0.92964
rhyperior,0.17852,,0.37764
alcremie,0.17496,,0.1397
pikachu,0.15854,0.00831,0.09502
raikou,0.15819,,0.15887
articuno-galar,0.14347,0.77831,0.16038
excadrill,0.13112,,0.70122
diggersby,0.1213,,
pelipper,0.12019,5.51125,3.96501
darmanitan-galar,0.11772,,
gyarados,0.11423,1.22696,0.72103
salamence,0.11024,0.91174,0.32471
ninetales-alola,0.10998,8.36146,1.41708
giratina-origin,0.10871,,0.10395
mudsdale,0.10411,0.37355,0.0961
centiskorch,0.10337,,
chandelure,0.10225,0.59007,0.08135
snorlax,0.09956,1.07291,0.12706
drifblim,0.09765,0.0,0.36885
mewtwo,0.09673,,0.10214
tyranitar,0.09196,5.91237,1.83539
necrozma-dawn-wings,0.09109,,0.38148
krookodile,0.08989,0.05333,0.01055
primarina,0.08982,,2.54596
greedent,0.08851,0.00042,0.00123
politoed,0.086,1.72843,0.3112
weavile,0.08566,0.03885,0.03702
jynx,0.08565,,
clefable,0.08481,0.14252,0.02832
haxorus,0.07952,0.03509,0.01502
giratina,0.07543,,0.04594
latios,0.07504,,0.54428
meowstic,0.07185,,0.09186
azumarill,0.06595,1.82885,0.17367
nihilego,0.06592,,
dracozolt,0.06513,,
cresselia,0.06466,23.75665,4.16931
latias,0.0604,,2.41745
kangaskhan,0.06004,,
runerigus,0.05966,,
cherrim,0.05737,,
cofagrigus,0.05676,,
swampert,0.05529,,0.03132
kyurem-black,0.05505,,0.14599
rotom-mow,0.05405,0.11693,0.00534
toxapex,0.05404,0.39142,0.05043
scrafty,0.05289,,0.02513
toxicroak,0.0002,0.0,0.05087
scizor,0.05268,2.51191,0.46289
bisharp,0.04871,0.046,0.00579
weezing-galar,0.04753,1.12353,0.31882
terrakion,0.04564,,0.95251
frosmoth,0.04544,0.04684,0.03373
gengar,0.04475,0.0,0.03635
butterfree,0.04471,,
marowak,0.04387,,
sylveon,0.04294,6.7173,0.55911
escavalier,0.04285,,
